4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
205	3.981992982147044e-08	1.0262812493895517e-07	1.3109246078039866e-07	4.037668960175964e-07	1.709123906018691e-07	4.092920273989751e-07
206	4.571917868391051e-08	1.0873453145608467e-07	1.5051356608119844e-07	4.292514639366114e-07	1.9623274476510898e-07	4.328614714840705e-07
207	4.256613187812358e-08	1.0555575942971675e-07	1.4013332014456406e-07	4.159375803783986e-07	1.8269945202268766e-07	4.206180868366492e-07
208	4.7477608633291685e-08	1.1042848672047286e-07	1.5630254939201378e-07	4.3639292751354854e-07	2.037801580253055e-07	4.39360378830435e-07
209	4.7477608633291685e-08	1.1042848672047286e-07	1.5630254939201378e-07	4.3639292751354854e-07	2.037801580253055e-07	4.39360378830435e-07
210	4.7477608633291685e-08	1.1042848672047286e-07	1.5630254939201378e-07	4.3639292751354854e-07	2.037801580253055e-07	4.39360378830435e-07
211	4.571917868391051e-08	1.0873453145608467e-07	1.5051356608119844e-07	4.292514639366114e-07	1.9623274476510898e-07	4.328614714840705e-07
212	4.7477608633291685e-08	1.1042848672047286e-07	1.4834462858535818e-07	4.372832082386313e-07	1.9582223721864986e-07	4.411020353714485e-07
213	5.367034019415582e-08	1.1598562494191922e-07	1.3845721891551805e-07	4.496709172365212e-07	1.9212755910967385e-07	4.546700134151184e-07
214	5.1434076019399325e-08	1.1404892659884817e-07	1.3268816812737145e-07	4.4107171149436313e-07	1.8412224414677077e-07	4.4674964291258363e-07
215	5.367034019415582e-08	1.1598562494191922e-07	1.3845721891551805e-07	4.496709172365212e-07	1.9212755910967385e-07	4.546700134151184e-07
216	5.367034019415582e-08	1.1598562494191922e-07	2.813922409403756e-07	7.823633516502274e-07	3.350625811345314e-07	7.754163776839386e-07
217	5.610990111207199e-08	1.1801384009010983e-07	2.9418279734675627e-07	7.975913958894723e-07	3.502926984588283e-07	7.894720006622623e-07
218	5.87818011650278e-08	1.2013912984364442e-07	3.0819150198231613e-07	8.137122495774568e-07	3.6697330314734395e-07	8.042537152283602e-07
219	6.496935918239914e-08	1.2470250683437953e-07	2.294013233972008e-07	7.410157843189649e-07	2.943706825796e-07	7.362240115912843e-07
220	6.496935918239914e-08	1.2470250683437953e-07	2.294013233972008e-07	7.410157843189649e-07	2.943706825796e-07	7.362240115912843e-07
221	6.496935918239914e-08	1.2470250683437953e-07	2.294013233972008e-07	7.410157843189649e-07	2.943706825796e-07	7.362240115912843e-07
222	6.496935918239914e-08	1.2470250683437953e-07	2.294013233972008e-07	7.410157843189649e-07	2.943706825796e-07	7.362240115912843e-07
223	6.496935918239914e-08	1.2470250683437953e-07	2.294013233972008e-07	7.410157843189649e-07	2.943706825796e-07	7.362240115912843e-07
224	6.496935918239914e-08	1.2470250683437953e-07	2.294013233972008e-07	7.410157843189649e-07	2.943706825796e-07	7.362240115912843e-07
225	4.520424483040209e-08	8.534337563470901e-08	6.30070375279466e-08	1.8112025660127483e-07	1.082112823583487e-07	2.0594910599295353e-07
226	4.520424483040209e-08	8.534337563470901e-08	6.30070375279466e-08	1.8112025660127483e-07	1.082112823583487e-07	2.0594910599295353e-07
227	4.520424483040209e-08	8.534337563470901e-08	6.30070375279466e-08	1.8112025660127483e-07	1.082112823583487e-07	2.0594910599295353e-07
228	4.520424483040209e-08	8.534337563470901e-08	6.30070375279466e-08	1.8112025660127483e-07	1.082112823583487e-07	2.0594910599295353e-07
229	4.520424483040209e-08	8.534337563470901e-08	6.30070375279466e-08	1.8112025660127483e-07	1.082112823583487e-07	2.0594910599295353e-07
230	4.269289789537975e-08	8.358271359336272e-08	5.950664655417179e-08	1.766079528983302e-07	1.0219954444955154e-07	2.016755819199311e-07
231	4.520424483040209e-08	8.5343375634709e-08	6.30070375279466e-08	1.8112025660127483e-07	1.082112823583487e-07	2.0594910599295353e-07
232	4.8029510132302215e-08	8.71952630111202e-08	6.694497737344326e-08	1.8598711317431067e-07	1.1497448750574548e-07	2.1044804074826808e-07
233	4.520424483040209e-08	8.5343375634709e-08	6.30070375279466e-08	1.8112025660127483e-07	1.082112823583487e-07	2.0594910599295353e-07
234	4.8029510132302215e-08	8.71952630111202e-08	1.9529032567120334e-08	5.2145028520625344e-08	6.755854269942255e-08	1.302728090980755e-07
235	4.520424483040209e-08	8.5343375634709e-08	4.787931834746471e-08	1.2417316927005058e-07	9.30835631778668e-08	1.6247195794251379e-07
236	5.12314774744557e-08	8.913944113907629e-08	5.4263227460460005e-08	1.308756200233352e-07	1.054947049349157e-07	1.691373573828834e-07
237	5.12314774744557e-08	8.913944113907629e-08	5.4263227460460005e-08	1.308756200233352e-07	1.054947049349157e-07	1.691373573828834e-07
238	5.12314774744557e-08	8.913944113907629e-08	5.4263227460460005e-08	1.308756200233352e-07	1.054947049349157e-07	1.691373573828834e-07
239	5.12314774744557e-08	8.913944113907629e-08	5.4263227460460005e-08	1.308756200233352e-07	1.054947049349157e-07	1.691373573828834e-07
240	4.8029510132302215e-08	8.719526301112021e-08	5.0871775744181255e-08	1.2739870620563377e-07	9.890128587648347e-08	1.657455216039414e-07
241	5.12314774744557e-08	8.913944113907629e-08	5.4263227460460005e-08	1.308756200233352e-07	1.054947049349157e-07	1.691373573828834e-07
242	5.12314774744557e-08	8.913944113907629e-08	5.4263227460460005e-08	1.308756200233352e-07	1.054947049349157e-07	1.691373573828834e-07
243	5.12314774744557e-08	8.913944113907629e-08	5.4263227460460005e-08	1.308756200233352e-07	1.054947049349157e-07	1.691373573828834e-07
